index	groups	values
1	Accuracy	0.948
2	Accuracy	0.949
3	Accuracy	0.95
4	Accuracy	0.951
5	Accuracy	0.952
6	Accuracy	0.952
7	Accuracy	0.952
8	Accuracy	0.952
9	Accuracy	0.952
10	Accuracy	0.953
11	Accuracy	0.953
12	Accuracy	0.953
13	Accuracy	0.954
14	Accuracy	0.954
15	Accuracy	0.954
16	Accuracy	0.954
17	Accuracy	0.954
18	Accuracy	0.954
19	Accuracy	0.954
20	Accuracy	0.955
21	Accuracy	0.955
22	Accuracy	0.955
23	Accuracy	0.955
24	Accuracy	0.955
25	Accuracy	0.955
26	Accuracy	0.956
27	Accuracy	0.956
28	Accuracy	0.956
29	Accuracy	0.956
30	Accuracy	0.956
31	Accuracy	0.956
32	Accuracy	0.957
33	Accuracy	0.957
34	Accuracy	0.957
35	Accuracy	0.957
36	Accuracy	0.958
37	Accuracy	0.958
38	Accuracy	0.958
39	Accuracy	0.959
40	Accuracy	0.959
41	Accuracy	0.959
42	Accuracy	0.959
43	Accuracy	0.96
44	Accuracy	0.96
45	Accuracy	0.96
46	Accuracy	0.96
47	Accuracy	0.96
48	Accuracy	0.961
49	Accuracy	0.961
50	Accuracy	0.962
51	MCC	0.943
52	MCC	0.946
53	MCC	0.946
54	MCC	0.947
55	MCC	0.949
56	MCC	0.947
57	MCC	0.948
58	MCC	0.948
59	MCC	0.949
60	MCC	0.95
61	MCC	0.95
62	MCC	0.948
63	MCC	0.951
64	MCC	0.95
65	MCC	0.952
66	MCC	0.951
67	MCC	0.95
68	MCC	0.95
69	MCC	0.951
70	MCC	0.952
71	MCC	0.951
72	MCC	0.952
73	MCC	0.952
74	MCC	0.951
75	MCC	0.951
76	MCC	0.952
77	MCC	0.952
78	MCC	0.952
79	MCC	0.952
80	MCC	0.953
81	MCC	0.953
82	MCC	0.954
83	MCC	0.953
84	MCC	0.954
85	MCC	0.953
86	MCC	0.956
87	MCC	0.955
88	MCC	0.953
89	MCC	0.957
90	MCC	0.955
91	MCC	0.956
92	MCC	0.955
93	MCC	0.957
94	MCC	0.957
95	MCC	0.957
96	MCC	0.957
97	MCC	0.956
98	MCC	0.958
99	MCC	0.958
100	MCC	0.958
